linkPVID, refSlope, probeSlope, diff
62035706, -0.001200, -0.890290, 0.889090
78659524, -3.166391, -0.054500, -3.111891
52511939, 1.506655, -0.061686, 1.568341
550098117, 2.579150, 0.053140, 2.526010
762590856, -0.246222, 0.067113, -0.313335
763657403, -0.618143, -0.074575, -0.543568
587016147, 0.504500, -0.072616, 0.577116
762599827, -0.792000, 0.021506, -0.813506
79933042, 0.287000, 0.045409, 0.241591
554722954, 0.253500, 88.953703, -88.700203
762854776, 0.518800, 0.832273, -0.313473
762854772, -0.529600, 0.010524, -0.540124
61740762, -0.374000, 0.248377, -0.622377
79635707, 0.238500, 0.050260, 0.188240
554722280, 0.220556, 0.022439, 0.198117
711735198, 0.277789, 0.060400, 0.217389
586811322, -1.441190, -0.057446, -1.383744
711688545, 0.505333, 0.588044, -0.082710
565415709, 1.119774, -0.125452, 1.245226
711688530, 1.841500, -0.070998, 1.912498
783387925, -0.925250, -2.582725, 1.657475
762719395, -0.738500, 0.043818, -0.782318
761780451, 2.061444, -0.172958, 2.234402
567290415, -1.132162, 0.014272, -1.146434
75390228, 1.234625, -0.012347, 1.246972
74815919, 0.569217, -0.022760, 0.591978
763547468, 0.020500, -0.050786, 0.071286
554723907, -2.386091, -0.268924, -2.117167
554724013, 0.390000, 0.016712, 0.373288
80719132, 1.366357, -0.061201, 1.427558
756059082, -0.604056, -0.116326, -0.487730
762917439, -1.839375, 0.000000, -1.839375
766094150, 0.158000, -0.579180, 0.737180
572247840, -0.011632, -0.182440, 0.170808
565020345, -0.640833, -0.022030, -0.618803
74988597, 0.139875, 0.000000, 0.139875
587014438, -0.021000, -79.591012, 79.570012
572685575, -0.326154, 0.059655, -0.385809
68025365, -0.351000, 0.704428, -1.055428
554740096, 0.139000, 0.059276, 0.079724
554722424, -0.117400, 0.000000, -0.117400
762587337, -0.267000, 0.000000, -0.267000
763662940, 1.013000, -0.015107, 1.028107
554729417, 2.128300, 0.085456, 2.042844
792527013, -0.230231, 0.019258, -0.249488
762754212, 0.100368, -44.331491, 44.431859
77316005, 0.373103, 0.049292, 0.323811
727602070, -0.828571, -0.059730, -0.768842
52511018, 0.442400, 0.516917, -0.074517
565023599, -0.558143, 0.248572, -0.806715
766434171, -0.297857, -0.133596, -0.164261
723583188, -1.763278, -0.047775, -1.715503
761207696, -0.892143, -0.038373, -0.853770
761207687, 0.978107, -0.045882, 1.023989
762687414, -1.395000, 0.035525, -1.430525
78657481, -1.555538, 0.054074, -1.609613
567342164, -0.085625, 0.025560, -0.111185
51749394, 0.697700, 0.010497, 0.687203
762728972, -0.238861, 0.005651, -0.244512
711431667, -0.424300, -0.024726, -0.399574
67917255, 0.297714, 0.046805, 0.250909
763547473, -0.948500, -0.903370, -0.045130
554734518, 0.512143, 0.000000, 0.512143
763921120, 0.098333, 0.074006, 0.024327
723586013, -1.561840, 0.042192, -1.604032
762754215, 0.709627, -0.068652, 0.778279
762754210, 0.510100, -0.052271, 0.562371
765319826, 0.229444, -0.057668, 0.287112
554737801, -0.019000, 0.044434, -0.063434
61396481, 0.247100, 0.070615, 0.176485
724499345, 0.088333, 0.053041, 0.035293
792587817, 0.083857, -0.063243, 0.147100
763551933, 0.449714, -66.877999, 67.327713
762466131, -0.930870, -0.039938, -0.890932
762466206, 0.307250, 0.000000, 0.307250
762601385, 0.302667, -0.024842, 0.327508
762429602, 0.656393, -0.089830, 0.746223
763754725, -1.674579, 0.010176, -1.684755
781674141, -0.277769, 0.133313, -0.411082
554740275, -0.001667, -1.188820, 1.187153
51929536, 0.138867, 0.080971, 0.057895
765846676, -0.371143, 0.278344, -0.649487
749416251, -0.037125, 0.252973, -0.290098
586524474, -0.449800, 0.000000, -0.449800
586524475, -0.119077, -0.012373, -0.106704
572195623, 0.770833, 0.056230, 0.714603
79892572, 0.345250, -0.036725, 0.381975
806665731, -0.357280, -0.013811, -0.343469
586495053, -0.094750, -0.042322, -0.052428
554736796, -0.442000, 2.297248, -2.739248
539185927, -0.710100, 0.162647, -0.872747
51926533, -0.121750, 0.033964, -0.155714
762431452, -0.591750, 18.472289, -19.064039
587010617, -0.768231, 0.063740, -0.831971
762599864, -0.024000, 0.100875, -0.124875
762625642, -0.182000, 64.561979, -64.743979
762625643, 0.925833, 0.045297, 0.880537
762625641, 1.217077, 0.673782, 0.543295
75416522, 0.651500, -63.244629, 63.896129
554723731, 0.183500, -26.259585, 26.443085
761209921, -0.120571, 0.031590, -0.152162
761209928, 0.594500, -0.081216, 0.675716
550093744, -0.155400, 63.824532, -63.979932
586831093, -1.961895, -0.213698, -1.748196
75422749, 1.275600, 0.090610, 1.184990
75422360, 3.053364, 1.618026, 1.435337
586492713, 1.176015, -0.032795, 1.208810
67897197, 0.212389, -0.060209, 0.272598
762915922, -0.778500, 0.029568, -0.808068
51759741, 1.418250, 0.000000, 1.418250
792862306, -1.198143, 0.251705, -1.449848
806687078, -0.011000, 0.000000, -0.011000
762149791, -0.640750, 3.042624, -3.683374
51582133, -0.057333, 0.054870, -0.112203
51581957, -0.153667, -16.173478, 16.019811
554734230, -0.198222, 0.042067, -0.240289
51731992, 0.638000, 16.302722, -15.664722
80721518, -0.147250, -0.078682, -0.068568
554728569, -0.003425, -0.020613, 0.017188
51766435, -0.039757, -0.081155, 0.041399
565390453, -0.194027, -0.018141, -0.175886
565398783, -0.481321, -0.097050, -0.384271
51810127, -0.380200, -0.023382, -0.356818
68103140, 0.118714, -0.148906, 0.267620
